data	zs	data.1	zs.1	data.2	zs.2	data.3	zs.3	data.4	zs.4	data.5	zs.5	data.6	zs.6	data.7	zs.7	data.8	zs.8	data.9	zs.9
14533.90068	-0.0184931680384177	14533.90068	-0.0194955142969761	14533.90068	-0.019492839754602	14533.90068	-0.0194448618663199	14533.90068	-0.018563089087334	14533.90068	-0.00264505825562249	14533.90068	-0.0317241567321775	14533.90068	-0.153468343631216	14533.90068	-0.365764765836926	14533.90068	-0.39608139048637
14507.62818	-0.0184931680384177	14507.62818	-0.0194955143098713	14507.62818	-0.019492839985571	14507.62818	-0.0194448660032245	14507.62818	-0.0185631630832085	14507.62818	-0.00264602665740947	14507.62818	-0.0317415641462793	14507.62818	-0.153667846761927	14507.62818	-0.366261787051287	14507.62818	-0.396707246476379
14472.41642	-0.0184931680384177	14472.41642	-0.0194955143271542	14472.41642	-0.0194928402951275	14472.41642	-0.0194448715477175	14472.41642	-0.0185632622562972	14472.41642	-0.00264732455944797	14472.41642	-0.0317648944607744	14472.41642	-0.153935231150845	14472.41642	-0.366927920526023	14472.41642	-0.397546050964524
14463.17238	-0.0184931680384177	14463.17238	-0.0194955143316914	14463.17238	-0.0194928403763945	14463.17238	-0.019444873003297	14463.17238	-0.0185632882919171	14463.17238	-0.00264766529386057	14463.17238	-0.0317710192997601	14463.17238	-0.154005426789647	14463.17238	-0.367102798591925	14463.17238	-0.397766259844755
14452.36822	-0.0184931680384177	14452.36822	-0.0194955143369944	14452.36822	-0.0194928404713769	14452.36822	-0.0194448747045351	14452.36822	-0.018563318721578	14452.36822	-0.00264806353414417	14452.36822	-0.0317781778300539	14452.36822	-0.154087469371993	14452.36822	-0.367307190892747	14452.36822	-0.398023633457964
14439.04853	-0.0184931680384177	14439.04853	-0.0194955143435321	14439.04853	-0.019492840588474	14439.04853	-0.0194448768018722	14439.04853	-0.0185633562361696	14439.04853	-0.00264855449661816	14439.04853	-0.0317870030792512	14439.04853	-0.154188613909251	14439.04853	-0.367559171804298	14439.04853	-0.398340931308247
14408.65777	-0.0184931680384177	14408.65777	-0.0194955143584487	14408.65777	-0.0194928408556477	14408.65777	-0.0194448815872438	14408.65777	-0.0185634418310259	14408.65777	-0.00264967469706698	14408.65777	-0.0318071391357433	14408.65777	-0.154419389502159	14408.65777	-0.368134101957141	14408.65777	-0.399064891311556
14401.14945	-0.0184931680384177	14401.14945	-0.019495514362134	14401.14945	-0.0194928409216555	14401.14945	-0.0194448827695143	14401.14945	-0.0185634629780315	14401.14945	-0.00264995145300971	14401.14945	-0.0318121139358365	14401.14945	-0.15447640475942	14401.14945	-0.368276143800293	14401.14945	-0.399243752365773
14391.73205	-0.0184931680384177	14391.73205	-0.0194955143667563	14391.73205	-0.0194928410044465	14391.73205	-0.0194448842523913	14391.73205	-0.0185634895019157	14391.73205	-0.00265029857745499	14391.73205	-0.0318183536382463	14391.73205	-0.154547916826531	14391.73205	-0.36845430147787	14391.73205	-0.399468090978403
14390.7004	-0.0184931680384177	14390.7004	-0.0194955143672626	14390.7004	-0.019492841013516	14390.7004	-0.0194448844148364	14390.7004	-0.0185634924075335	14390.7004	-0.00265033660397335	14390.7004	-0.0318190371803058	14390.7004	-0.154555750774758	14390.7004	-0.368473818156366	14390.7004	-0.399492666650002
